date,voltage,current,power,energy,frequency,power_factor,alarm
2022-12-15 17:28,223.66235888043138,0.687935594724239,103.46975530698751,8902,49.921875,0.6700388717655825,0.0
2022-12-15 18:40,218.65301507253372,9.344939708496423,2036.3667613400658,9142,49.999999999997996,1.0,0.0
2022-12-15 18:45,222.610162817979,1.2633424410523535,193.4290904377022,9312,50.0,0.6901396751357242,0.0
2022-12-15 18:50,222.81133095093423,1.0993264454213925,170.98639917583563,9449,49.999999999254825,0.6992898559496253,0.0
2022-12-15 18:55,221.76998748012562,1.172838267795654,184.60660622303345,9463,50.0,0.7074999862389865,0.0
2022-12-15 19:00,223.08714609956175,1.2892437450729313,198.56618097207382,9480,49.9748046875,0.6900000099461249,0.0
2022-12-15 19:05,223.18387169584693,0.8172277986565953,125.73908845846246,9495,49.913317876030334,0.6886579771339938,0.0
2022-12-15 19:10,222.87034959151413,1.3004524545655531,195.83075690098678,9510,49.981142591501204,0.6775000000000015,0.0
2022-12-15 19:15,222.9989335166248,1.2940900349286846,196.0342840036909,9526,49.94955978337312,0.6800001046189572,0.0
2022-12-15 19:20,223.74605929897368,1.079826874144364,170.5934314442054,9541,49.99999594984114,0.7067559257149696,0.0
2022-12-15 19:25,223.90573521705903,1.3062385144573567,196.31454904842775,9556,49.999999999999496,0.6700000001280613,0.0
2022-12-15 19:30,224.26622594701897,1.2913522689494386,196.01797523499636,9572,50.0,0.6800182283250364,0.0
2022-12-15 19:35,222.94808539245577,1.0752967989586182,169.3178760003675,9586,50.0,0.7049121093749999,0.0
2022-12-15 19:40,224.13867873788206,1.077230177033972,153.90702336916826,9602,50.0,0.6350000013971995,0.0
2022-12-15 19:45,224.12047769085405,0.7810242164869354,108.42858809016884,9616,50.0,0.6160213206033207,0.0
2022-12-15 19:50,224.12669609398412,0.7283727973410675,101.31774728253077,9624,50.0,0.6187500023841859,0.0
2022-12-15 19:55,224.10306283758155,0.8939695710026481,122.0472513127245,9634,50.0,0.6100927534667242,0.0
2022-12-15 20:00,223.34801495904532,0.8718520911942214,122.41261870302215,9643,50.0,0.629995114132762,0.0
2022-12-15 20:05,224.58730427088864,0.28823789148792894,42.22369618852342,9653,49.9000031224075,0.6498283863068295,0.0
2022-12-15 20:10,224.71329340822686,0.5140159683573167,71.82751757763509,9659,49.961967414769994,0.624066162774104,0.0
2022-12-15 20:15,223.86499488617028,0.5050854868502128,69.52207042189892,9664,49.99999999988345,0.6150000000000881,0.0
2022-12-15 20:20,219.41002212243757,9.009843746287594,1973.336219107775,9670,49.99999997913809,0.9999992796404681,0.0
2022-12-15 20:25,221.25290280523365,7.0174175043675575,1553.454529355295,9730,49.99999999687951,1.0,0.0
2022-12-15 20:30,224.1776481921762,0.32336160972208194,42.34715910474302,9893,50.0,0.5843778898645541,0.0
2022-12-15 20:35,224.3683521490613,0.22498323842713353,26.991413274660168,9899,49.99998092651367,0.5304788233354347,0.0
2022-12-15 20:40,224.30672896593097,0.22546239745348173,27.059515017055773,9902,50.0,0.5329296875058682,0.0
2022-12-15 20:45,224.72924500471703,0.22509391784295735,26.967489816559755,9904,50.0,0.5303127313032838,0.0
2022-12-15 20:50,224.64616952272002,0.23325135460409757,29.72389871039109,9906,50.0,0.5700006104268456,0.0
2022-12-15 20:55,224.87814087779054,0.24298081232671564,31.347830639978113,9909,50.0,0.5700146484373545,0.0
2022-12-15 21:00,225.05317355006537,0.24319545883668076,31.40820621299179,9911,50.0,0.5700390911149054,0.0
2022-12-15 21:05,224.74011252706086,0.24228514219087222,31.268947829402833,9914,49.90011297618116,0.5734426283827969,0.0
2022-12-15 21:10,224.5575477713113,0.818928986883644,129.77132652022746,9917,49.99197726270689,0.7087449634060513,0.0
2022-12-15 21:15,224.21469326453382,0.8270555421823507,129.16132950411605,9924,50.0,0.6999999999999977,0.0
2022-12-15 21:20,224.30059895960704,0.7869013196903984,121.52025394437635,9935,49.99999994023651,0.690000000074501,0.0
2022-12-15 21:25,223.24501785368236,0.7350632252518461,110.77032747847954,9946,50.0,0.675,0.0
2022-12-15 21:30,224.8811366527616,0.7312131152623274,108.11291865630737,9955,50.0,0.6600000005960478,0.0
2022-12-15 21:35,225.02997378994772,0.7229839973256162,106.85423386005775,9964,49.99921867784247,0.659970703125,0.0
2022-12-15 21:40,224.34408941482042,0.7214983272971819,106.46022559800227,9973,50.0,0.6599995422363281,0.0
2022-12-15 21:45,224.78422961446773,0.7279155518291203,106.15904650996663,9982,50.0,0.6500000000465864,0.0
2022-12-15 21:50,225.4762095720838,0.730026569251942,106.22240121954799,9991,50.0,0.6456253528594971,0.0
2022-12-15 21:55,225.6483409687006,0.727688159800351,106.50774806149482,10000,50.0,0.6499999999999999,0.0
2022-12-15 22:00,225.5118096368157,0.723013256789851,105.98169118714303,10009,50.0,0.6499999988102354,0.0
2022-12-15 22:05,223.24203820452504,0.6989403520035973,97.36541425886246,10018,49.92661132905694,0.6200781250745444,0.0
2022-12-15 22:10,222.83416726249945,0.6980092705872228,97.01665830715396,10026,49.99999917633268,0.6206417743815109,0.0
2022-12-15 22:15,222.8847719964224,0.6919787704277103,97.04555757959545,10034,49.99999959222096,0.6299998536892235,0.0
2022-12-15 22:20,223.24684902249555,0.6852275885169172,96.99836514565607,10042,50.0,0.6312452697753905,0.0
2022-12-15 22:25,223.09295418380594,0.6847132644669099,96.86637094324186,10050,50.0,0.6300003052643264,0.0
2022-12-15 22:30,223.74812597116335,0.6874766613699685,97.05247539041659,10059,50.0,0.6300000000000092,0.0
